YEAR,STATE,STATE_ABV,VEP,VEP_TURNOUT_RATE,TOTAL_BALLOTS_COUNTED,VAP
2000,Illinois,IL,"8,362,452",58.98%,4932192,9208908
2000,Indiana,IN,"4,403,265",51.02%,2246348,4527523
2000,Iowa,IA,"2,125,448",,,2199529
2000,Kansas,KS,"1,894,387",57.68%,1092716,1983933
2000,Kentucky,KY,"2,984,345",52.54%,1568058,3059582
2000,Louisiana,LA,"3,131,905",56.71%,1776133,3260060
2000,Maine,ME,"964,624",,,979314
2000,Maryland,MD,"3,640,036",55.95%,2036455,3972224
2000,Massachusetts,MA,"4,480,832",61.06%,2736006,4870470
2000,Michigan,MI,"7,079,579",60.45%,4279299,7370524
2000,Minnesota,MN,"3,459,248",71.06%,2458303,3662005
2000,Mississippi,MS,"2,026,696",,,2076861
2000,Missouri,MO,"4,048,057",,,4190073
2000,Montana,MT,"666,875",62.67%,417916,676065
2000,Nebraska,NE,"1,208,322",58.53%,707223,1266496
2000,Nevada,NV,"1,323,256",46.35%,613360,1523209
2000,New Hampshire,NH,"906,696",63.82%,578656,934176
2000,New Jersey,NJ,"5,550,891",59.33%,3293378,6356954
2000,New Mexico,NM,"1,221,526",50.40%,615607,1318129
2000,New York,NY,"12,394,560",56.16%,6960215,14344348
2000,North Carolina,NC,"5,772,767",52.24%,3015964,6143214
2000,North Dakota,ND,"475,217",61.50%,292249,482078
2000,Ohio,OH,"8,288,750",57.86%,4795989,8487355
2000,Oklahoma,OK,"2,453,332",,,2568304
2000,Oregon,OR,"2,418,671",64.47%,1559215,2595354
2000,Pennsylvania,PA,"9,113,295",,,9375146
2000,Rhode Island,RI,"734,834",56.08%,412074,804417
2000,South Carolina,SC,"2,910,350",49.26%,1433533,3025380
2000,South Dakota,SD,"545,601",59.05%,322159,554875
2000,Tennessee,TN,"4,170,830",50.36%,2100241,4316391
2000,Texas,TX,"12,913,321",49.62%,6407637,15138468
2000,Utah,UT,"1,435,686",54.65%,784582,1534950
2000,Vermont,VT,"454,233",65.42%,297146,463503
2000,Virginia,VA,"5,034,930",55.41%,2789808,5389008
2000,Washington,WA,"4,022,625",62.57%,2517028,4419907
2000,West Virginia,WV,"1,388,515",,,1405021
2000,Wisconsin,WI,"3,862,851",,,4016401
2000,Wyoming,WY,"356,887",62.12%,221685,366639
