"st","state","year","democracy_mcmc","democracy_mcmc_sd","democracy_mcmc_se","democracy_additive"
"NE","Nebraska",2017,0.175503273903428,0.281400648543011,0.00281400648543011,0.604917350709084
"NE","Nebraska",2016,0.174869633592058,0.284697919639977,0.00284697919639977,0.604917350709084
"NE","Nebraska",2015,0.173557893921635,0.281145011894732,0.00281145011894732,0.139984220984303
"NE","Nebraska",2014,0.178458621881515,0.282387236869413,0.00282387236869413,0.139984220984303
"NE","Nebraska",2013,0.186831009292305,0.283367884790641,0.00283367884790641,0.170332835222691
"NE","Nebraska",2012,0.193912767138795,0.286437896648721,0.00286437896648721,0.116827892642862
"NE","Nebraska",2011,0.239977827105936,0.284780453830725,0.00284780453830725,-0.428573861192711
"NE","Nebraska",2010,0.242377368671213,0.285953272826694,0.00285953272826694,-0.427789829735506
"NE","Nebraska",2009,0.167078047829219,0.282157369011153,0.00282157369011153,-0.334308491705106
"NE","Nebraska",2008,0.165684180405868,0.282518094403791,0.00282518094403791,-0.349162575715149
"NE","Nebraska",2007,0.21245696849575,0.283181011463015,0.00283181011463015,-0.313951787249351
"NE","Nebraska",2006,0.209940992316066,0.284706755635498,0.00284706755635498,-0.301075328435255
"NE","Nebraska",2005,0.120043482590851,0.282077648579776,0.00282077648579776,-0.342256659187582
"NE","Nebraska",2004,0.112961076391424,0.286902120283035,0.00286902120283035,-0.376014688005149
"NE","Nebraska",2003,0.179100809011814,0.280884415919614,0.00280884415919614,-0.290221594279982
"NE","Nebraska",2002,0.170292144689042,0.286238451526228,0.00286238451526228,-0.334380343130768
"NE","Nebraska",2001,0.12342039988764,0.28388463089808,0.0028388463089808,-0.339174099114315
"NE","Nebraska",2000,0.121092748952883,0.282766908386392,0.00282766908386392,-0.402245026099137
"NV","Nevada",2023,0.433894752736391,0.283828428923258,0.00283828428923258,2.03711088907601
"NV","Nevada",2022,0.434576535653609,0.284652124998967,0.00284652124998967,2.03711088907601
"NV","Nevada",2021,1.03648037611867,0.287508105020794,0.00287508105020794,2.45822928705084
"NV","Nevada",2020,1.03776044116113,0.284901085048671,0.00284901085048671,2.45822928705084
"NV","Nevada",2019,0.922231660850518,0.285144958137019,0.00285144958137019,1.74821753446069
"NV","Nevada",2018,0.819910676210132,0.285402756225423,0.00285402756225423,1.28959563331478
"NV","Nevada",2017,0.836576282399063,0.285884069698264,0.00285884069698264,1.13485948601797
"NV","Nevada",2016,0.841720063099232,0.281475079199689,0.00281475079199689,1.13485948601797
"NV","Nevada",2015,1.09652474352669,0.280224229980535,0.00280224229980535,0.932022930153111
"NV","Nevada",2014,1.10002633688973,0.28495913364206,0.0028495913364206,0.932022930153111
"NV","Nevada",2013,1.01544574607724,0.288362885434895,0.00288362885434895,0.736038460444327
"NV","Nevada",2012,1.02048376106171,0.286743127834318,0.00286743127834318,0.803531723976694
"NV","Nevada",2011,0.230881635071081,0.281839179045638,0.00281839179045638,0.101538885056361
"NV","Nevada",2010,0.228807631865188,0.284056056373643,0.00284056056373643,0.109800525401183
"NV","Nevada",2009,5.1287197241587e-05,0.284059652822211,0.00284059652822211,0.134543081689425
"NV","Nevada",2008,-0.0174685160172787,0.281553975877349,0.00281553975877349,0.130680574047283
"NV","Nevada",2007,0.16444566830158,0.282620069660326,0.00282620069660326,0.0846572885560523
"NV","Nevada",2006,0.0821070489039645,0.282798452603866,0.00282798452603866,-0.152507259028937
"NV","Nevada",2005,0.172148471780789,0.284885516011475,0.00284885516011475,0.119284439734578
"NV","Nevada",2004,0.177038387764685,0.280932847138079,0.00280932847138079,0.12804862457539
"NV","Nevada",2003,0.697861585713391,0.284330800612386,0.00284330800612386,0.407706557390039
"NV","Nevada",2002,0.697785091777685,0.283669080933124,0.00283669080933124,0.421766290954019
"NV","Nevada",2001,0.514023086001003,0.282501919037558,0.00282501919037558,0.468778260978644
"NV","Nevada",2000,0.518393255318503,0.284053821051237,0.00284053821051237,0.47291250184628
"NH","New Hampshire",2023,-0.114738833974666,0.281193434600717,0.00281193434600717,-0.0229110453867241
"NH","New Hampshire",2022,-0.116459271004734,0.283170587521422,0.00283170587521422,-0.0229110453867241
"NH","New Hampshire",2021,0.0964660436532222,0.283319028557273,0.00283319028557273,0.13644041025238
"NH","New Hampshire",2020,0.0942605428016045,0.281244839224224,0.00281244839224224,0.13644041025238
"NH","New Hampshire",2019,0.134775738686298,0.282206836529295,0.00282206836529295,0.11798585240664
"NH","New Hampshire",2018,0.13129304874235,0.281835462898091,0.00281835462898091,0.347296802979595
"NH","New Hampshire",2017,0.275408971805273,0.286348279182883,0.00286348279182883,0.559641636301122
"NH","New Hampshire",2016,0.147334668597842,0.282055901863122,0.00282055901863122,0.330330685728168
"NH","New Hampshire",2015,0.0775042365401052,0.283800347455391,0.00283800347455391,0.0157485335033888
"NH","New Hampshire",2014,0.0756074292107998,0.281231455632609,0.00281231455632609,0.0157485335033888
"NH","New Hampshire",2013,0.0357434562965145,0.286382787979241,0.00286382787979241,0.0334611469905603
"NH","New Hampshire",2012,0.0940654125786761,0.28134334702356,0.0028134334702356,-0.108581724721911
"NH","New Hampshire",2011,0.504245040212227,0.285021505239731,0.00285021505239731,0.248788303768652
"NH","New Hampshire",2010,0.512440674415028,0.28409649717672,0.0028409649717672,0.263831389230199
"NH","New Hampshire",2009,0.628606081396574,0.285211204534291,0.00285211204534291,0.03668762909659
"NH","New Hampshire",2008,0.623178815236829,0.285547454002209,0.00285547454002209,0.0279955558697814
"NH","New Hampshire",2007,0.68949492667547,0.282838968588576,0.00282838968588576,0.0911223136300516
"NH","New Hampshire",2006,0.689720489960631,0.285694751696355,0.00285694751696355,0.0936186732445872
"NH","New Hampshire",2005,0.564204742934483,0.286004962065554,0.00286004962065554,0.120637079066521
"NH","New Hampshire",2004,0.563921600021241,0.287027995627621,0.00287027995627621,0.121596965314846
"NH","New Hampshire",2003,0.652266436896919,0.283138679127939,0.00283138679127939,0.211303349243768
"NH","New Hampshire",2002,0.652790553914921,0.287358180595598,0.00287358180595598,0.211817909746669
"NH","New Hampshire",2001,0.632396186752897,0.282759943014515,0.00282759943014515,0.0999014785382506
"NH","New Hampshire",2000,0.633399250902151,0.283214732733349,0.00283214732733349,0.102908691677576
"NJ","New Jersey",2023,1.23438477986415,0.28507410019847,0.0028507410019847,2.26400007029844
"NJ","New Jersey",2022,1.23481347305215,0.286588765350763,0.00286588765350763,2.26400007029844
"NJ","New Jersey",2021,1.19669839130709,0.286043412031399,0.00286043412031399,1.92562110133828
"NJ","New Jersey",2020,1.20461314537234,0.284225610005352,0.00284225610005351,1.92562110133828
