state,state_abbr,S_year,E_year,S,ln_gdppc,activity,ln_density
North Carolina,NC,2006,2004,-1.235501,10.803088693417804,66.2,5.169958210024141
North Carolina,NC,2007,2005,-1.1269634,10.835811997990977,65.9,5.187602666907099
North Carolina,NC,2008,2006,-0.99793184,10.873909684235809,66.1,5.211648185977492
North Carolina,NC,2009,2007,-0.711547,10.866945767678217,65.6,5.233912879731712
North Carolina,NC,2010,2008,-0.66248596,10.876603110519364,65.1,5.254688245905343
North Dakota,ND,2002,2000,0.386986,10.56937017737617,70.8,2.2305776264308546
North Dakota,ND,2003,2001,1.4730353,10.587490649905892,70.9,2.225954974112269
North Dakota,ND,2004,2002,0.38307875,10.637523165601277,70.9,2.224555069402858
North Dakota,ND,2005,2003,0.18834068,10.699697352346062,71.6,2.225571526222442
North Dakota,ND,2006,2004,-0.50083214,10.701389361856497,72.3,2.2347463456691568
North Dakota,ND,2007,2005,0.09975389,10.733326904214994,72.5,2.2368907630283377
North Dakota,ND,2008,2006,-0.22045925,10.770552869348922,73.3,2.242036234357676
North Dakota,ND,2009,2007,0.14963807,10.816338053054526,73.9,2.2472580018998656
North Dakota,ND,2010,2008,-0.010279079,10.883177112381752,74.2,2.254503199349013
Ohio,OH,2002,2000,-0.036153987,10.770775215033145,67.0,5.62804430966691
Ohio,OH,2003,2001,0.1124016,10.756789445074032,67.2,5.630141893450895
Ohio,OH,2004,2002,0.14786118,10.777328766984503,67.0,5.631939194807309
Ohio,OH,2005,2003,-0.10240026,10.793704215845855,67.0,5.634294348928124
Ohio,OH,2006,2004,-0.2283861,10.819247156066593,66.6,5.635820365761397
Ohio,OH,2007,2005,-0.37378734,10.839988574149857,66.7,5.636786433843303
Ohio,OH,2008,2006,-0.37676594,10.834608612368084,67.3,5.6383461085272195
Ohio,OH,2009,2007,-0.42187968,10.83766804774033,67.6,5.640021791390064
Ohio,OH,2010,2008,-0.4141867,10.827769358955871,67.2,5.641318549602841
Oklahoma,OK,2002,2000,-0.4540705,10.465312799076383,64.2,3.9191520147453107
Oklahoma,OK,2003,2001,-0.86960655,10.498300675904346,64.5,3.9228318756911604
Oklahoma,OK,2004,2002,-0.9929481,10.509601990514565,64.5,3.9291514571716353
Oklahoma,OK,2005,2003,-1.2135859,10.52226629980991,64.2,3.9336730729115033
Oklahoma,OK,2006,2004,-1.3290353,10.550165195794271,64.1,3.939459899394343
Oklahoma,OK,2007,2005,-1.1927437,10.58541422803833,64.3,3.9460656801269556
Oklahoma,OK,2008,2006,-1.1734543,10.634871483446501,63.7,3.9588041958078475
