state_abv,state,year,manufacturing_va_millions_current_dollars,all_industry_gdp_millions_current_dollars,manufacturing_va_share_pct
AK,Alaska,2011,971.8,56912.3,1.70753949
AK,Alaska,2012,992.0,58320.7,1.70093980
AK,Alaska,2013,1313.0,57533.0,2.28216849
AK,Alaska,2014,1557.9,56587.4,2.75308638
AK,Alaska,2015,1783.2,51574.2,3.45754272
AK,Alaska,2016,1525.6,51121.8,2.98424547
AK,Alaska,2017,1726.5,53550.9,3.22403545
AK,Alaska,2018,1366.6,54762.0,2.49552609
AK,Alaska,2019,1413.7,54549.6,2.59158637
AK,Alaska,2020,1254.4,51283.4,2.44601567
AK,Alaska,2021,1506.4,58943.5,2.55566772
AK,Alaska,2022,1749.5,66271.9,2.63988206
AK,Alaska,2023,1931.9,68056.0,2.83869167
AZ,Arizona,2000,22942.9,165735.6,13.84307294
AZ,Arizona,2001,22224.8,172899.6,12.85416508
AZ,Arizona,2002,22266.2,180844.5,12.31234569
AZ,Arizona,2003,25627.3,194318.0,13.18833047
AZ,Arizona,2004,21953.9,207246.3,10.59314449
AZ,Arizona,2005,20633.6,227997.8,9.04991189
AZ,Arizona,2006,22654.1,246061.1,9.20669704
AZ,Arizona,2007,24539.5,261152.8,9.39660612
AZ,Arizona,2008,23364.6,261005.8,8.95175510
AZ,Arizona,2009,20060.9,244862.2,8.19273044
AZ,Arizona,2010,21110.3,250527.0,8.42635724
AZ,Arizona,2011,22054.7,261691.4,8.42775116
AZ,Arizona,2012,24014.9,272703.3,8.80623740
AZ,Arizona,2013,21714.1,278679.5,7.79178232
AZ,Arizona,2014,23325.4,286676.0,8.13650253
AZ,Arizona,2015,24802.3,298942.2,8.29668745
AZ,Arizona,2016,25424.0,313787.1,8.10230886
